,leagueID,season,homeTeamID,awayTeamID,xGoals_h,shots_h,shotsOnTarget_h,deep_h,ppda_h,corners_h,total_xAssists_h,total_key_passes_h,total_xGoalsChain_h,total_blocked_shots_h,total_saved_shots_h,xGoals_a,shots_a,shotsOnTarget_a,deep_a,ppda_a,corners_a,total_xAssists_a,total_key_passes_a,total_xGoalsChain_a,total_blocked_shots_a,total_saved_shots_a,game_month,game_day,redCards_h_cat,redCards_a_cat,ownGoals_h_cat,ownGoals_a_cat,yellowCards_h_cat,yellowCards_a_cat,total_assists_h_cat,total_assists_a_cat,result
53,1.0,2015.0,73.0,77.0,0.644335,15.0,5.0,7.0,8.5185,7.0,0.442759784,13.0,1.615105648,6.0,3.0,0.632761,9.0,2.0,2.0,9.2692,3.0,0.453963927,5.0,0.84105304,4.0,2.0,9.0,19.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,2.0
54,1.0,2015.0,85.0,75.0,1.14717,11.0,4.0,2.0,6.9565,3.0,0.68567097,8.0,3.13948301,2.0,2.0,1.22582,12.0,5.0,3.0,6.0,4.0,0.433796853,10.0,1.738917211,1.0,3.0,9.0,19.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0
55,1.0,2015.0,84.0,72.0,0.864868,12.0,3.0,4.0,8.5769,2.0,0.488392919,10.0,2.040833281,3.0,3.0,1.77458,17.0,2.0,0.0,9.0,4.0,1.323390057,14.0,6.087120786,0.0,1.0,9.0,19.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0
56,1.0,2015.0,88.0,81.0,0.0,27.0,8.0,0.0,3.6667,0.0,1.961739216,22.0,11.75738075,0.0,0.0,0.995273,6.0,3.0,3.0,23.7692,3.0,0.983790709,5.0,1.010014206,0.0,1.0,9.0,19.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0
57,1.0,2015.0,82.0,78.0,1.01573,21.0,6.0,10.0,5.1765,6.0,0.802341057,17.0,2.397424728,0.0,5.0,0.538439,12.0,4.0,5.0,10.1739,5.0,0.311029593,9.0,0.63322193,4.0,4.0,9.0,20.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0
58,1.0,2015.0,74.0,89.0,1.83663,15.0,8.0,7.0,17.45,5.0,1.512863804,12.0,7.467827521,1.0,0.0,1.65119,10.0,3.0,4.0,12.2353,5.0,0.508794382,4.0,3.767330527,2.0,0.0,9.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
59,1.0,2015.0,87.0,79.0,1.90447,23.0,7.0,12.0,8.8636,6.0,1.859070346,20.0,6.657611541,0.0,0.0,0.556271,7.0,2.0,3.0,15.1905,2.0,0.463074914,6.0,1.881354761,1.0,1.0,9.0,20.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0
60,1.0,2015.0,82.0,88.0,2.30799,15.0,8.0,9.0,5.2895,5.0,1.883137867,10.0,7.012371987,4.0,4.0,1.57842,22.0,8.0,0.0,10.9,0.0,1.219355047,14.0,4.590657303,0.0,0.0,9.0,26.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,2.0
61,1.0,2015.0,74.0,84.0,1.55418,17.0,6.0,10.0,11.7037,4.0,1.202092115,10.0,2.426610626,3.0,4.0,1.41962,11.0,4.0,4.0,11.1111,3.0,0.241131116,7.0,1.486837486,3.0,3.0,9.0,26.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0
62,1.0,2015.0,85.0,73.0,1.94483,8.0,5.0,3.0,10.4286,3.0,1.918281727,6.0,4.765000641,1.0,3.0,0.871678,12.0,6.0,8.0,9.95,7.0,0.664943284,10.0,2.87306604,4.0,5.0,9.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
63,1.0,2015.0,75.0,83.0,1.38516,16.0,7.0,8.0,10.3333,6.0,1.29311328,14.0,3.409003938,3.0,5.0,0.0,27.0,12.0,0.0,6.7727,5.0,2.972218417,23.0,17.3202274,0.0,0.0,9.0,26.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0
64,1.0,2015.0,87.0,71.0,1.78331,21.0,12.0,11.0,7.4138,0.0,1.366317287,15.0,5.999150351,0.0,0.0,0.892054,10.0,4.0,2.0,26.4167,0.0,0.792738058,7.0,5.004601441,1.0,2.0,9.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0
65,1.0,2015.0,89.0,77.0,0.0,12.0,7.0,6.0,6.4286,5.0,2.189510874,8.0,9.543861866,4.0,4.0,0.832139,9.0,4.0,1.0,22.0,2.0,0.896499339,9.0,0.783336425,4.0,4.0,9.0,26.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0
66,1.0,2015.0,81.0,79.0,0.0,19.0,7.0,9.0,9.0,7.0,2.438442754,16.0,6.448691223,4.0,5.0,1.38603,16.0,7.0,3.0,6.7308,5.0,0.974393629,12.0,4.654585222,4.0,5.0,9.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
67,1.0,2015.0,86.0,80.0,0.702109,11.0,5.0,2.0,11.125,4.0,0.6406894,10.0,2.116293948,3.0,3.0,0.871678,16.0,4.0,8.0,4.2,6.0,1.135218412,11.0,3.409194283,4.0,2.0,9.0,26.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0
68,1.0,2015.0,90.0,78.0,0.685939,15.0,2.0,9.0,9.625,6.0,0.484087866,10.0,1.509633553,4.0,2.0,0.0,16.0,3.0,2.0,8.7727,4.0,1.271096515,8.0,3.660552609,5.0,2.0,9.0,27.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0
69,1.0,2015.0,76.0,72.0,1.27511,9.0,4.0,6.0,11.0,6.0,1.176982868,7.0,1.527845303,1.0,2.0,0.0,12.0,4.0,5.0,9.6,4.0,2.202362832,9.0,11.96526109,3.0,1.0,9.0,28.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0
70,1.0,2015.0,78.0,76.0,1.99083,21.0,8.0,3.0,4.2,8.0,1.005558813,12.0,1.635123387,6.0,0.0,0.255528,7.0,2.0,1.0,10.5238,3.0,0.123767042,4.0,0.369897297,2.0,2.0,10.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0
71,1.0,2015.0,71.0,85.0,0.839028,13.0,2.0,7.0,7.6333,9.0,0.62214759,8.0,1.187522491,0.0,2.0,1.03499,12.0,5.0,3.0,8.3226,5.0,1.03499483,12.0,3.790488228,3.0,4.0,10.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
72,1.0,2015.0,73.0,90.0,1.50268,12.0,6.0,1.0,11.9444,5.0,0.720847718,10.0,3.695138805,2.0,5.0,0.913291,11.0,2.0,3.0,9.8846,3.0,0.487246379,6.0,2.1849405,4.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
73,1.0,2015.0,88.0,86.0,0.0,23.0,11.0,0.0,5.4848,6.0,2.973386511,15.0,9.385023989,5.0,5.0,0.980279,6.0,4.0,3.0,22.5455,3.0,0.980279461,6.0,3.511682944,1.0,3.0,10.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,1.0,2.0
74,1.0,2015.0,79.0,75.0,1.18074,17.0,2.0,5.0,11.5556,0.0,1.154579539,15.0,1.499763133,6.0,1.0,0.0,16.0,5.0,5.0,10.2174,0.0,1.71182676,14.0,5.37090539,3.0,3.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
75,1.0,2015.0,77.0,81.0,1.08401,12.0,3.0,3.0,13.0,1.0,0.995882133,9.0,4.020756721,4.0,1.0,1.93656,20.0,6.0,7.0,9.381,0.0,1.344319289,16.0,8.082739264,5.0,4.0,10.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,1.0
76,1.0,2015.0,80.0,74.0,0.520175,10.0,3.0,5.0,8.7273,4.0,0.302402452,7.0,1.300196687,3.0,2.0,1.58246,13.0,5.0,5.0,14.2,6.0,1.441267963,9.0,3.841952786,4.0,2.0,10.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,3.0,0.0
